threshold,TN,FP,FN,TP,precision,recall,f1,candidate_id,xgb_scale_pos_weight,xgb_max_depth,xgb_min_child_weight,xgb_gamma,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,candidate_threshold,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k,selected_xgb_candidate_id,selected_xgb_scale_pos_weight,selected_xgb_max_depth,selected_xgb_min_child_weight,selected_xgb_gamma,selected_xgb_subsample,selected_xgb_colsample_bytree,selected_xgb_reg_lambda
0.3,1540,136,185,164,0.5466666666666666,0.4699140401146132,0.5053929121725732,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.3,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,1573,103,194,155,0.6007751937984496,0.44412607449856734,0.5107084019769357,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.35,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,1594,82,213,136,0.6238532110091743,0.38968481375358166,0.47971781305114647,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.4,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.45,1610,66,224,125,0.6544502617801047,0.35816618911174786,0.462962962962963,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.45,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.5,1617,59,228,121,0.6722222222222223,0.3467048710601719,0.45746691871455575,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.5,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.55,1626,50,249,100,0.6666666666666666,0.28653295128939826,0.4008016032064128,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.55,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.6,1630,46,255,94,0.6714285714285714,0.2693409742120344,0.3844580777096115,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.6,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.65,1640,36,261,88,0.7096774193548387,0.2521489971346705,0.372093023255814,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.65,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.7,1649,27,261,88,0.7652173913043478,0.2521489971346705,0.37931034482758624,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.7,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.75,1661,15,271,78,0.8387096774193549,0.22349570200573066,0.3529411764705882,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.75,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.8,1664,12,277,72,0.8571428571428571,0.20630372492836677,0.33256351039260973,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.8,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.85,1666,10,279,70,0.875,0.20057306590257878,0.3263403263403263,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.85,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.9,1672,4,283,66,0.9428571428571428,0.18911174785100288,0.315035799522673,reported_regularized,3.0,3,10.0,5.0,0.8,0.8,10.0,0.9,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.3,1543,133,209,140,0.5128205128205128,0.40114613180515757,0.45016077170418,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.3,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.35,1565,111,221,128,0.5355648535564853,0.3667621776504298,0.4353741496598639,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.35,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
0.4,1585,91,228,121,0.5707547169811321,0.3467048710601719,0.4313725490196078,shallower_conservative,2.0,2,15.0,5.0,0.8,0.8,10.0,0.4,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6,deeper_regularized,3.0,4,5.0,1.0,0.8,0.8,5.0
